shelf
TV
sofa
door
table
door
toilet
toilet
sofa
table
sofa
table
door
bedroom
bed
bedroom
bed
bedroom
kitchen
refrigerator
refrigerator
entrance
entrance
entrance
bedroom
bedroom
bed
bed
